abbr	expan
ανοις	ἀνθρώποις
ἀνοις	ἀνθρώποις
ἀπο	ἀποστόλου
ἁπο	ἀποστόλου
ευ°	εὐλόγησον
εὐ°	εὐλόγησον
ευo	εὐλόγησον
θυ	θεοῦ
θῦ	θεοῦ
θω	θεῷ
ιλημ	ιερουσαλημ
ϊλημ	ιερουσαλημ
ἱλημ	ἱερουσαλημ
ἰλὴμ	ἰερουσαλὴμ
ἰλημ`	ἰερουσαλὴμ
ιυ	ἰησοῦ
ἰυ	ἰησοῦ
ἰῦ	ἰησοῦ
κε	κύριε
κς	κύριος
κς´	κύριος
κυ	κυρίου
κύ	κυρίου
κυ´	κυρίου
κω	κυρίῳ
κώ	κυρίῳ
κῴ	κυρίῳ
μρ	μαρτύριον
περ	πάτερ
πέρ	πάτερ
πὲρ	πάτερ
πνα	πνεῦμα
πνά	πνεῦμα
πνᾶ	πνεῦμα
πνι	πνεύματι
πνς	πνεύματος
πνς	πνεύματος
πνς´	πνεύματος
πρι	πατρὶ
πρς	πατρὸς
πρς	πατρὸς
πρς`	πατρὸς
πρς´	πατρὸς
σρ῀ς	σωτῆρος
σρς	σωτῆρος
σρς῀	σωτῆρος
υιυ	υἱοῦ
υυ	υἱοῦ
φιλανου	φιλανθρώπου
φιλανοῦ	φιλανθρώπου
χυ	χριστοῦ
χῦ	χριστοῦ
χω	χριστῷ
χῷ	χριστῷ
χῶ	χριστῷ
